,County,Population,Male,Female,White,Black,Minority,Housing Units,Aggregate Rent Spent By All Renter Housing Units,Rental Units For Which Rent Expenditures Calculated,Occupation Of Residents 16 Or Older - Professional And Managerial,"Occupation Of Residents 16 Or Older - Sales, Office And Administrative Support",Occupation Of Residents 16 Or Older - Services,"Occupation Of Residents 16 Or Older - Farming, Forestry, Or Fishing","Occupation Of Residents 16 Or Older - Construction, Extraction And Maintenance","Occupation Of Residents 16 Or Older - Production, Transportation And Material Moving",Work Classification Of Residents 16 Or Older - Private For-Profit Wage And Salary Workers,Work Classification Of Residents 16 Or Older - Private Non-Profit Wage And Salary Workers,Work Classification Of Residents 16 Or Older - Government Workers,Work Classification Of Residents 16 Or Older - Self-Employed Workers,Work Classification Of Residents 16 Or Older - Unpaid Family Workers,Means Of Travel To Work Of Employed Persons 16 Or Older - Drove Alone,Means Of Travel To Work Of Employed Persons 16 Or Older - Carpool,Means Of Travel To Work Of Employed Persons 16 Or Older - Public Transit,Means Of Travel To Work Of Employed Persons 16 Or Older - Taxicab,Means Of Travel To Work Of Employed Persons 16 Or Older - Motorcycle,Means Of Travel To Work Of Employed Persons 16 Or Older - Bicycle,Means Of Travel To Work Of Employed Persons 16 Or Older - Walked,Means Of Travel To Work Of Employed Persons 16 Or Older - Other Means,Means Of Travel To Work Of Employed Persons 16 Or Older - Worked At Home,"Households With Income Less Than $10,000","Households With Income $10,000-$14,999","Households With Income $15,000-$19,999","Households With Income $20,000-$24,999","Households With Income $25,000-$29,999","Households With Income $30,000-$34,999","Households With Income $35,000-$39,999","Households With Income $40,000-$44,999","Households With Income $45,000-$49,999","Households With Income $50,000-$59,999","Households With Income $60,000-$74,999","Households With Income $75,000-$99,999","Households With Income $100,000-$124,999","Households With Income $125,000-$149,999","Households With Income $150,000-$199,999","Households With Income $200,000 Or More",White Persons Among Whom Poverty Status Was Determined,Black Persons Among Whom Poverty Status Was Determined,Persons In Poverty,White Persons In Poverty,Black Persons In Poverty
182,Clay,2458,1256,1202,2165,98,368,874,13542.0,13,788,276,177,0,81,128,732,218,360,141,0,1171,121,0,0,0,0,0,45,100,0,0,0,6,9,20,30,41,65,106,103,179,145,54,24,65,2274,3447,20,14,21
95,Clay,607,300,307,516,28,114,313,37119.0,64,171,24,30,0,29,19,153,42,16,63,0,223,22,0,0,0,0,9,0,18,2,12,0,0,0,7,27,37,15,27,55,57,4,11,18,10,554,9,74,70,2
491,Jackson,1400,669,731,1067,256,365,670,94600.0,154,300,115,191,0,42,41,378,83,209,19,0,639,31,0,0,0,0,0,0,19,37,48,39,53,30,0,36,42,21,45,86,95,5,21,44,0,1032,273,142,101,37
524,Jackson,952,431,521,226,619,746,400,80969.0,244,77,33,60,0,28,13,126,27,52,7,0,179,18,0,0,0,0,12,3,0,99,24,54,56,0,0,14,16,13,20,14,11,0,0,0,0,263,624,293,61,214
278,Jackson,511,225,286,8,484,503,282,49991.0,129,29,57,71,0,48,39,188,12,38,6,0,221,16,0,0,0,0,0,0,0,37,35,7,0,13,14,0,8,15,34,38,16,0,0,0,0,20,471,104,0,91
239,Jackson,554,272,282,194,219,411,329,74299.0,238,11,4,59,0,0,103,158,0,5,13,0,75,95,0,0,0,0,0,0,0,179,14,6,0,9,9,0,30,26,22,0,2,3,0,0,0,230,151,232,110,67
507,Jackson,714,350,364,322,325,414,309,10695.0,28,149,65,19,0,0,88,237,44,40,0,0,289,13,0,0,0,0,0,5,15,16,0,2,8,6,0,3,19,39,55,28,42,27,9,28,5,355,372,83,45,70
456,Jackson,758,369,389,683,27,97,366,81157.0,133,81,149,87,0,14,61,258,14,105,14,0,300,65,0,0,0,0,0,13,14,37,39,62,23,25,18,0,8,8,16,26,30,13,0,0,0,630,118,132,115,16
4,Cass,2090,1031,1059,1762,165,400,781,120586.0,95,353,275,260,0,9,191,563,170,145,209,0,827,67,0,0,0,0,0,0,132,34,12,46,59,17,11,63,42,25,49,85,176,61,8,11,53,1792,201,291,168,123
115,Clay,827,410,417,643,42,209,377,55935.0,121,113,107,106,0,38,58,310,43,31,39,0,355,43,25,0,0,0,0,0,0,35,47,35,16,6,25,18,0,9,22,23,34,49,0,4,18,769,11,85,48,6
224,Jackson,683,361,322,334,72,432,307,39408.0,81,38,15,3,0,53,129,210,10,17,0,0,151,37,0,0,0,9,11,0,3,38,30,32,36,27,13,14,14,11,13,5,4,7,0,0,0,332,58,179,81,8
133,Clay,925,455,470,785,72,155,354,24158.0,41,156,67,92,0,14,38,217,54,85,11,0,320,16,0,0,0,0,10,0,20,11,10,23,47,26,11,11,29,9,15,40,53,49,5,0,0,814,25,14,14,0
322,Jackson,1140,448,692,42,1043,1105,521,159585.0,305,76,135,106,0,11,30,273,15,69,0,0,264,41,52,0,0,0,0,0,0,106,12,35,90,70,24,9,3,10,24,21,5,0,0,0,0,46,1025,337,27,308
257,Jackson,1008,475,533,67,904,953,595,108121.0,272,65,44,160,0,13,60,240,26,56,20,0,163,77,75,0,0,0,21,7,0,129,60,39,51,36,22,10,12,15,21,9,0,0,1,2,0,13,831,502,7,449
520,Jackson,1168,547,621,298,792,880,490,74873.0,109,128,146,130,0,36,106,288,58,164,36,0,388,82,0,0,0,0,0,0,36,48,19,4,23,44,30,23,47,17,24,46,54,53,8,2,8,373,629,217,62,66
607,Jackson,1271,623,648,1114,63,193,479,201354.0,265,225,166,152,0,0,146,628,11,39,12,0,523,66,0,0,0,43,46,0,12,13,0,3,21,37,38,25,61,42,49,48,65,51,0,0,0,1159,70,70,68,0
357,Jackson,604,288,316,19,548,587,270,56490.0,102,12,76,53,0,37,48,179,12,36,0,0,136,0,58,0,0,0,13,0,20,29,16,15,9,42,35,11,14,12,16,9,6,12,0,0,0,86,469,84,7,77
286,Jackson,1254,551,703,33,1138,1231,650,67324.0,143,91,52,139,0,30,48,218,44,48,49,0,252,48,31,0,0,0,0,0,29,80,41,61,38,36,30,31,27,20,44,47,4,3,0,0,0,61,1147,549,41,480
69,Clay,2490,1256,1234,1706,336,889,1170,312130.0,484,313,282,245,0,84,164,648,228,97,115,0,970,85,13,0,0,0,10,0,0,81,53,46,96,93,57,69,130,64,52,63,121,33,30,25,0,1884,3004,358,218,309
34,Cass,1471,757,714,1415,13,68,577,23568.0,62,169,179,102,0,190,117,573,15,91,79,0,662,56,7,0,0,0,10,4,1,3,25,27,13,29,26,15,37,26,44,81,124,48,24,10,2,1407,2,121,112,0
381,Jackson,659,329,330,163,441,498,319,62336.0,119,51,62,66,0,13,40,157,64,12,0,0,210,4,0,0,0,0,0,9,11,44,28,27,20,15,33,26,3,5,11,11,12,5,8,0,0,81,517,323,32,261
329,Jackson,1178,456,722,16,1117,1167,678,186382.0,424,192,157,141,0,8,70,333,56,132,47,0,414,29,0,0,0,0,39,17,60,151,57,30,60,23,47,46,26,6,9,49,98,8,6,7,0,29,1063,339,13,293
677,Jackson,556,289,267,495,16,121,273,16292.0,50,25,51,32,0,5,38,93,0,25,33,0,108,0,0,0,0,0,5,0,18,45,37,42,34,17,28,22,11,2,0,0,0,0,0,0,0,456,34,212,161,34
223,Jackson,1274,625,649,560,219,889,474,87238.0,145,148,55,108,0,79,139,349,140,20,21,0,335,140,0,0,0,0,9,22,16,34,38,48,37,24,4,37,30,21,43,43,17,0,2,5,0,619,109,334,150,16
499,Jackson,1337,572,765,472,760,887,613,149421.0,305,281,111,148,0,90,58,432,126,82,48,0,532,81,0,0,0,0,10,0,40,170,99,38,0,32,33,0,0,13,48,69,35,14,0,0,0,779,484,255,62,160
88,Clay,722,395,327,618,30,152,313,37835.0,56,124,81,61,0,11,56,215,25,70,21,0,246,45,0,0,0,0,0,13,14,25,11,18,15,6,20,33,21,24,44,38,22,0,0,0,0,553,47,75,56,15
108,Clay,1404,683,721,1222,51,243,708,165526.0,263,222,254,136,0,158,64,642,111,63,18,0,766,54,0,0,0,0,0,0,0,51,73,9,12,26,52,32,48,62,98,74,37,6,14,41,0,1314,46,68,67,0
